A_url,B_url
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_comb/davis_tandem_sfn_comb_feathers.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_tandem_sfn_diff_feathers.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/sintel_mountain_2_sfn_diff_feathers.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_comb/sintel_mountain_2_sfn_comb_feathers.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_man-bike_sfn_diff_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_comb/davis_man-bike_sfn_comb_lamuse.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/sintel_wall_sfn_diff_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_comb/sintel_wall_sfn_comb_lamuse.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_comb/davis_man-bike_sfn_comb_feathers.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_man-bike_sfn_diff_feathers.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_helicopter_sfn_diff_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_comb/davis_helicopter_sfn_comb_lamuse.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_comb/davis_girl-dog_sfn_comb_composition.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_girl-dog_sfn_diff_composition.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_comb/sintel_tiger_sfn_comb_starrynight.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/sintel_tiger_sfn_diff_starrynight.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_comb/sintel_cave_3_sfn_comb_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/sintel_cave_3_sfn_diff_lamuse.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_comb/davis_tandem_sfn_comb_starrynight.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_tandem_sfn_diff_starrynight.mp4
