A_url,B_url
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_wall_sfn_none_composition.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/sintel_wall_sfn_diff_composition.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/sintel_temple_1_sfn_diff_composition.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_temple_1_sfn_none_composition.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_slackline_sfn_diff_feathers.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_slackline_sfn_none_feathers.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/sintel_market_4_sfn_diff_starrynight.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_market_4_sfn_none_starrynight.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/sintel_bamboo_3_sfn_diff_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_bamboo_3_sfn_none_lamuse.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_market_1_sfn_none_feathers.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/sintel_market_1_sfn_diff_feathers.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_horsejump-stick_sfn_none_starrynight.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_horsejump-stick_sfn_diff_starrynight.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_cats-car_sfn_diff_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_cats-car_sfn_none_lamuse.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_girl-dog_sfn_diff_composition.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_girl-dog_sfn_none_composition.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_ambush_1_sfn_none_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/sintel_ambush_1_sfn_diff_lamuse.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_subway_sfn_none_starrynight.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_subway_sfn_diff_starrynight.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_man-bike_sfn_diff_composition.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_man-bike_sfn_none_composition.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_girl-dog_sfn_none_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_diff/davis_girl-dog_sfn_diff_lamuse.mp4
