A_url,B_url
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_wall_sfn_none_composition.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_flow/sintel_wall_sfn_flow_composition.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_flow/sintel_temple_1_sfn_flow_composition.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_temple_1_sfn_none_composition.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_flow/davis_slackline_sfn_flow_feathers.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_slackline_sfn_none_feathers.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_flow/sintel_market_4_sfn_flow_starrynight.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_market_4_sfn_none_starrynight.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_flow/sintel_bamboo_3_sfn_flow_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_bamboo_3_sfn_none_lamuse.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_market_1_sfn_none_feathers.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_flow/sintel_market_1_sfn_flow_feathers.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_horsejump-stick_sfn_none_starrynight.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_flow/davis_horsejump-stick_sfn_flow_starrynight.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_flow/davis_cats-car_sfn_flow_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_cats-car_sfn_none_lamuse.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_flow/davis_girl-dog_sfn_flow_composition.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/davis_girl-dog_sfn_none_composition.mp4
https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_none/sintel_ambush_1_sfn_none_lamuse.mp4,https://raw.githubusercontent.com/AtlantixJJ/VideoStableData/master/video_sfn_flow/sintel_ambush_1_sfn_flow_lamuse.mp4
